timestamp,cpu_percent,mem_percent,io_read_kbps,io_write_kbps,process_count,syscall_rate_per_sec
1775489564.7933936,1.9,67.9,0.0,0.0,0.0,3.4
1775489569.7933936,1.6,66.9,0.0,0.0,0.0,3.4
1775489574.7933936,1.9,66.7,0.0,0.0,0.0,3.4
1775489579.7933936,2.8,66.7,0.0,0.0,0.0,3.4
1775489584.7933936,2.2,66.7,0.0,0.0,0.0,3.4
1775489589.7933936,1.3,66.7,0.0,0.0,0.0,3.4
1775489594.7933936,1.6,66.6,0.0,0.0,0.0,3.4
1775489599.7933936,3.1,66.8,0.0,0.0,0.0,3.4
1775489604.7933936,2.8,67.0,0.0,0.0,0.0,3.4
1775489609.7933936,12.7,67.7,0.0,0.0,0.0,3.4
1775489614.7933936,19.5,68.1,0.0,0.0,0.0,3.4
1775489619.7933936,8.2,67.6,0.0,0.0,0.0,3.4
1775489624.7933936,7.0,67.5,0.0,0.0,0.0,3.4
1775489629.7933936,8.2,67.4,0.0,0.0,0.0,3.4
1775489634.7933936,9.5,67.3,0.0,0.0,0.0,3.4
1775489639.7933936,6.9,67.7,0.0,0.0,0.0,3.4
1775489644.7933936,6.3,67.3,0.0,0.0,0.0,3.4
1775489649.7933936,6.9,67.4,0.0,0.0,0.0,3.4
1775489654.7933936,5.7,67.4,0.0,0.0,0.0,3.4
1775489659.7933936,8.6,67.6,0.0,0.0,0.0,3.4
1775489664.7933936,7.0,66.9,0.0,0.0,0.0,3.4
1775489669.7933936,6.7,66.8,0.0,0.0,0.0,3.4
1775489674.7933936,6.0,66.8,0.0,0.0,0.0,3.4
1775489679.7933936,6.6,66.7,0.0,0.0,0.0,3.4
1775489684.7933936,6.6,66.6,0.0,0.0,0.0,3.4
1775489689.7933936,6.0,66.6,0.0,0.0,0.0,3.4
1775489694.7933936,6.0,66.6,0.0,0.0,0.0,3.4
1775489699.7933936,5.7,66.6,0.0,0.0,0.0,3.4
1775489704.7933936,6.6,66.7,0.0,0.0,0.0,3.4
1775489709.7933936,9.3,66.7,0.0,0.0,0.0,3.4
1775489714.7933936,5.7,67.0,0.0,0.0,0.0,3.4
